game_context,vignette_id,source_id_vignette,setting_code,sender_category,receiver_action,joint_action,weight_all30_Aid,weight_all30_Bonus,weight_all30_Control,weight_all30_Market,weight_within_game_Aid,weight_within_game_Bonus,weight_within_game_Control,weight_within_game_Market,mean_rating_Aid,mean_rating_Bonus,mean_rating_Control,mean_rating_Market,comparison,difference_all30,difference_within_game,raw_rating_difference
DG,V02,DG-S-K,K,Self-interest,None,D-NA,0.04344645834515006,0.052871521388110264,0.05448336920252527,0.0608212469550573,0.1493724265662549,0.17000083977458305,0.1628081781465768,0.2011919855322429,66.0,83.66666666666667,81.33333333333333,90.66666666666667,Market-Control,0.0063378777525320285,0.0383838073856661,9.333333333333343
DG,V04,DG-S-P,P,Self-interest,None,D-NA,0.05328407863021609,0.042574959432040343,0.05583054074036775,0.043489865160147155,0.18284505058854142,0.1372834453628362,0.1668210551813404,0.14403829932933737,80.66666666666667,67.66666666666667,83.33333333333333,65.0,Market-Control,-0.012340675580220596,-0.02278275585200304,-18.33333333333333
DG,V07,DG-M-P,P,Moral,None,C-NA,0.05765385381487212,0.04677313679182261,0.05832980527434123,0.0425959352878445,0.19717438888123553,0.15078447453338908,0.17425930001711828,0.14076982907607605,86.66666666666667,74.33333333333333,87.0,63.666666666666664,Market-Control,-0.01573386998649673,-0.03348947094104224,-23.333333333333336
DG,V17,DG-C-K,K,Cooperation,None,C-NA,0.045171107901385676,0.054529286645830156,0.05525945167036148,0.05364182243257582,0.1549042567846811,0.17577040384223674,0.16497330650209643,0.17796219013753323,68.33333333333333,86.66666666666667,82.33333333333333,80.33333333333333,Market-Control,-0.0016176292377856616,0.012988883635436793,-2.0
DG,V22,DG-C-P,P,Cooperation,None,C-NA,0.04935027834536875,0.05556066336430959,0.05612104270343012,0.04492866371423693,0.1692519630803141,0.17866633075683344,0.16760986474222553,0.14906411260295807,74.66666666666667,88.0,83.66666666666667,67.33333333333333,Market-Control,-0.011192378989193195,-0.018545752139267457,-16.333333333333343
DG,V28,DG-M-K,K,Moral,None,C-NA,0.0426466913627219,0.058249468605636595,0.054720854496739135,0.05646685446374636,0.14645191409897293,0.18749450573012147,0.1635282954106425,0.18697358332185235,64.66666666666667,92.33333333333333,81.66666666666667,84.33333333333333,Market-Control,0.0017459999670072224,0.02344528791120984,2.666666666666657
TG,V01,TG-C-CC-P,P,Cooperation,C,C-C,0.051851482791284674,0.04862814698056014,0.0547732514746716,0.04716578339528107,0.08792755944330773,0.08438899384779346,0.08418773812836579,0.07800593020777545,87.33333333333333,83.33333333333333,89.66666666666667,79.66666666666667,Market-Control,-0.007607468079390535,-0.006181807920590338,-10.0
TG,V03,TG-S-DC-P,P,Self-interest,C,D-C,0.05199835804230013,0.045104318051097124,0.052910496819817264,0.04492346391426155,0.08821890830882446,0.07829998408315514,0.08136080655003829,0.07436409782528203,87.66666666666667,77.33333333333333,86.66666666666667,76.0,Market-Control,-0.007987032905555712,-0.006996708724756259,-10.666666666666671
TG,V06,TG-M-CC-K,K,Moral,C,C-C,0.046893776408635436,0.05131782539042621,0.05482824788034832,0.05472339955532657,0.07953093164862596,0.08910120345187922,0.0842141395184564,0.09045870951338207,79.0,88.0,89.66666666666667,92.33333333333333,Market-Control,-0.00010484832502175023,0.006244569994925675,2.666666666666657
TG,V11,TG-S-DC-K,K,Self-interest,C,D-C,0.046648684009618725,0.04646880778072909,0.05416177204172721,0.05471684471330495,0.07915653008484332,0.08066525491173071,0.0832530715248329,0.0904590869253486,78.66666666666667,79.66666666666667,88.66666666666667,92.33333333333333,Market-Control,0.0005550726715777415,0.0072060154005157,3.666666666666657
TG,V16,TG-C-CD-P,P,Cooperation,D,C-D,0.05123602002189759,0.0474412033603821,0.05392087221703653,0.04653206983381084,0.08690401798987886,0.08234817752126283,0.08291904952725311,0.07699684847215486,86.33333333333333,81.33333333333333,88.33333333333333,78.66666666666667,Market-Control,-0.007388802383225687,-0.005922201055098247,-9.666666666666657
TG,V18,TG-M-CC-P,P,Moral,C,C-C,0.05243840487680976,0.05033529089715202,0.05525464204746156,0.047640711897409045,0.08891787981743023,0.08741044006615871,0.08485091658718359,0.07872797697731834,88.33333333333333,86.33333333333333,90.33333333333333,80.33333333333333,Market-Control,-0.007613930150052517,-0.006122939609865249,-10.0
TG,V19,TG-C-CD-K,K,Cooperation,D,C-D,0.046240003705078636,0.047819604873326156,0.054374764586988124,0.053934831028065455,0.07847416911589074,0.08302476107431783,0.08356902729102562,0.08915189738286493,78.0,82.0,89.0,91.0,Market-Control,-0.00043993355892266856,0.005582870091839304,2.0
TG,V24,TG-S-DD-K,K,Self-interest,D,D-D,0.04562454093569155,0.045489827010868594,0.05352238532935305,0.05450560685948155,0.07745062766246187,0.07897241541581028,0.08230033868991293,0.0901227263468084,77.0,78.0,87.66666666666667,92.0,Market-Control,0.000983221530128496,0.007822387656895469,4.333333333333329
TG,V25,TG-M-CD-K,K,Moral,D,C-D,0.046278313639248364,0.05012910490854131,0.05440226278982649,0.05472339955532657,0.07850739019519709,0.08706142518044857,0.08358222798607091,0.09045870951338207,78.0,86.0,89.0,92.33333333333333,Market-Control,0.00032113676550007964,0.006876481527311157,3.3333333333333286
TG,V26,TG-C-CC-K,K,Cooperation,C,C-C,0.047454216589344865,0.04979125905008206,0.05519923656519343,0.054568544589535674,0.08050464148309529,0.08641620473214717,0.08481964966075127,0.09016097911848553,80.0,85.33333333333333,90.33333333333333,92.0,Market-Control,-0.0006306919756577586,0.005341329457734259,1.6666666666666714
TG,V29,TG-M-CD-P,P,Moral,D,C-D,0.051822942107422686,0.04914657041526712,0.054615255335087404,0.04702273276845237,0.08789433836400136,0.08537066179472806,0.08389818375226366,0.07772845843461704,87.33333333333333,84.33333333333333,89.33333333333333,79.33333333333333,Market-Control,-0.007592522566635035,-0.006169725317646618,-10.0
TG,V30,TG-S-DD-P,P,Self-interest,D,D-D,0.05097909959352682,0.0443112454426049,0.05269750427455635,0.044305484785304876,0.08651300588644305,0.07694047792056803,0.08104485078384555,0.07336457928258072,86.0,76.0,86.33333333333333,75.0,Market-Control,-0.008392019489251473,-0.007680271501264824,-11.333333333333329
UG,V05,UG-S-DD-K,K,Self-interest,D,D-D,0.04571167292749464,0.04422612526369802,0.052880281430717775,0.058272196006486865,0.0791735867239584,0.07811807169532485,0.08250549438967665,0.09805537645842122,73.66666666666667,75.33333333333333,83.66666666666667,89.33333333333333,Market-Control,0.00539191457576909,0.015549882068744567,5.666666666666657
